ServiceStationCode,ServiceStationName
621,7-eleven hassall grove
622,bp st marys
623,bp st marys (forrester road)
624,7-eleven plumpton
625,7-eleven riverstone
626,caltex woolworths vineyard
627,bp shalvey
628,coles express colyton
629,coles express eastern creek
630,coles express doonside
631,7-eleven st marys
632,7-eleven colyton
633,7-eleven minchinbury
634,7-eleven eastern creek
635,7-eleven rooty hill
636,coles express marsden park
637,coles express parklea
638,7-eleven quakers hill
639,7-eleven marsden park
640,bp quakers hill
641,caltex woolworths mount druitt
642,freedom fuel vineyard
643,independent riverstone
644,costco marsden park (members only)
645,caltex parklea
646,caltex eastern creek
647,caltex marsden park
648,7-eleven mount druitt
649,puma energy marsden park
650,7-eleven emerton
651,caltex mount druitt
652,bp eastern creek t/s
653,bp glendenning
654,bp woodcroft
655,bp riverstone
656,metro fuel doonside
657,bp marsden park
658,metro petroleum st marys
659,united petroleum lethbridge park
660,bp minchinbury
