ServiceStationCode,ServiceStationName
393,Caltex Menai
394,Caltex Kellyville
395,Caltex Star Mart Cherrybrook
396,Caltex Lilli Pilli
397,Caltex Woolooware
398,Caltex Woolworths Greenacre
399,AP Punchbowl
400,Coles Express Merrylands
401,Speedway Arncliffe
402,shell cromer
403,BP Warwick Farm
404,Budget Petrol Matraville
405,Caltex Woolworths North Narrabeen
406,Caltex Woolworths Newport
407,Caltex Woolworths Peakhurst
408,BP Loftus
409,7-Eleven Liverpool
410,7-Eleven Narrabeen
411,7-Eleven Menai
412,7-Eleven Croydon Park
413,7-Eleven Riverwood
414,7-Eleven Ashfield
415,7-Eleven Penshurst
416,7-Eleven Newport
417,7-Eleven Mona Vale
418,BP FOX HILLS
419,Caltex Woolworths North Liverpool
420,BP Roseville
421,BP Denistone East
422,Independent West Pymble
423,United Petroleum Dee Why Pittwater
424,Caltex Narwee
425,Caltex Star Mart Penshurst
426,Caltex Woolworths
427,Caltex Kingsgrove
428,Caltex Woolworths Revesby
429,Independent Canley Heights
430,Budget Petrol Eastlakes
431,BP Artarmon
432,BP Forestville
433,Speedway Bankstown
434,BP Balgowlah
435,BP Naremburn
436,BP Carlingford
437,Caltex Neutral Bay
438,United Prairiewood
439,BP Thornleigh
440,Caltex Star Mart Concord West
441,BP Summer Hill
442,BP Pymble
443,METRO PETROLEUM HURLSTONE PARK
444,BP Cronulla
445,BP Canterbury
446,BP Potts Hill T/S
447,BP Milperra
448,Caltex Star Mart Narrabeen
449,BP Revesby
450,Shell Liverpool
451,BP Ashfield
452,BP Bankstown Airport
453,BP Wiley Park
454,BP Rozelle
455,BP Kingsford
456,BP Mortdale
457,BP South Moorebank
458,Independent Girraween
459,Caltex Hornsby Heights
460,BP Casula
461,7-Eleven Haberfield
462,7-Eleven Bonnyrigg
463,7-Eleven Petersham
464,7-Eleven St Ives
465,7-Eleven Wahroonga
466,7-Eleven Hurlstone Park
467,7-Eleven Lindfield
468,7-Eleven Turramurra
469,7-Eleven Killara
470,Metro Castle Cove
471,Caltex Woolworths Leichardt
472,BP Dundas
473,Caltex St Ives
474,BP Kingsgrove
475,7-Eleven Camperdown
476,Caltex St Ives North
477,BOBBIN HEAD PETROL STATION
478,Independent West Hoxton
479,BP Guildford
480,Metro Fuel
481,Metro Petroleum Earlwood
482,METRO CROYDON PARK
483,Metro Fuel Jannali
484,Metro Tempe
485,Enhance Granville
486,BP Matraville
487,Metro Fuel North Avalon
488,Metro Fuel Greenacre
489,Metro revesby west
490,BP Lugarno
491,Metro Petroleum Narwee
492,BP Turramurra
493,Metro Marrickville
494,Westside Greenacre
495,BP Botany
496,Metro Bonnyrigg
497,Metro Peakhurst
498,Metro Petroleum South Hurstville
499,Metro Lane Cove
500,United Terrey HILLS
501,Caltex Woolworths Dural
502,7-Eleven Enmore
503,Caltex Woolworths Hoxton Park
504,7-Eleven Green Valley
505,Caltex Heathcote
506,Caltex Woolworths Waitara
507,Caltex WOW Heathcote
508,Caltex Star Mart Dural
509,Caltex Berowra
510,7-Eleven Burwood
511,7-Eleven Lurnea
512,Caltex Mount Colah
513,Caltex Kenthurst
514,Metro Peakhurst East
515,Westside Kenthurst
516,BP Kellyville
517,BP St Peters (NSW)
518,BP Rosehill
519,BP Runway
520,BP Asquith
521,Caltex Starmart Concord
522,Metro Petroleum Chester Hill
523,Speedway Revesby
524,BP Hoxton Park
525,Metro Fuel Alexandria
526,7 Express Carlton
527,BP Bankstown
528,Caltex Star Mart Rydalmere
529,Caltex Woolworths Baulkham Hills 22464
530,Metro Petroleum Lakemba
531,BP Manly
532,Caltex Miller
533,Metro Fuel Wiley Park
534,BP Bexley North
535,7-Eleven Granville
536,7-Eleven Granville East
537,United Petroleum Rydalmere
538,BUDGET PETROL BEXLEY ROAD CAMPSIE
539,Caltex Granville
540,Caltex Starmart Manly
541,BP Auburn
542,Budget Petrol Petersham
543,BP Leppington
544,Independent Marrickville
545,BP Thornton
546,Speedway Mt Pritchard
547,Speedway Meadows
548,Metro Milperra
549,BP Greenfield Park
550,BP Merrylands West
551,BP Hoxton Park Airfield
552,United Sutherland
553,BP Mosman (0926)
554,BP Mona Vale
555,BP Hornsby
556,BP Dural
557,BP Caringbah
558,BP Peninsula
559,BP Engadine
560,Metro Fuel Hornsby
561,BP Rydalmere
562,BP Camperdown
563,Independent Ramsgate
564,BP Prestons
565,Budget Erskineville
566,BP Liverpool
567,BP Rockdale
568,BP Croydon Park
569,BP Normanhurst
570,Independent Turramurra
571,BP Baulkham Hills
572,BP Rose Bay
573,Calvi Petrol Station
574,Metro Bexley
575,Metro Willoughby
576,Metro Sefton
577,BP Haberfield
578,BP Belfield
579,Independent Rosebery
580,Independent Wiley Park
581,Metro Fuel Cremorne
582,Enhance Merrylands
583,Speedway Regents Park
584,Speedway Parramatta
585,BUDGET PETROL MASCOT
586,Caltex Horsley Park
587,United Beacon Hill
588,Xpress fuels
589,BP Epping
590,United Rozelle
591,Budget Earlwood
592,Metro Fuel Haberfield
593,Westside Blakehurst
594,BP Penshurst
595,Sparkles Petroleum Clovelly
596,Speedway Haberfield
597,BP Smithfield
598,Speedway Caringbah
599,BP Lane Cove
600,Speedway Birrong
601,Budget Telopea
602,Budget West Ryde
603,Prime Earlwood
604,Speedway Casula
605,Speedway Northwood
606,APW
607,BP Edgecliff
608,Gas to connect
609,Metro Fuel Croydon
610,Mobil 1 Carlingford Car Care
611,Puma Wetherill Park
612,BKB
613,BP Mosman (9542)
614,Caltex Five Dock
615,Total Fuel Cabramatta
616,Speedway North St Marys
617,Caltex Woolworths Berkshire Park
618,Caltex St Marys
619,Coles Express Berkshire Park
620,BP Maraylya
621,Caltex Woolworths Plumpton
622,Westside Doonside
623,7-Eleven Hassall Grove
624,BP St Marys
625,BP St Marys (Forrester Road)
626,7-Eleven Plumpton
627,7-Eleven RIVERSTONE
628,Caltex Woolworths Vineyard
629,BP Shalvey
630,Coles Express Colyton
631,Coles Express Eastern Creek
632,Coles Express Doonside
633,7-Eleven St Marys
634,7-Eleven Colyton
635,7-Eleven Minchinbury
636,7-Eleven Eastern Creek
637,7-Eleven Rooty Hill
638,Coles Express Marsden Park
639,Coles Express Parklea
640,7-Eleven Quakers Hill
641,7-Eleven Marsden Park
642,BP Quakers Hill
643,Caltex Woolworths Mount Druitt
644,FREEDOM FUEL VINEYARD
645,Independent Riverstone
